time in s, LocalHeadX, LocalHeadY, LocalHeadZ,LocalHeadEulerX, LocalHeadEulerY, LocalHeadEulerZ, ControllerX, ControllerY, ControllerZ,ControllerEulerX, ControllerEulerY, ControllerEulerZ,PointerHead1X,PointerHead1Y,PointerHead1Z,PointerHand1X,PointerHand1Y,PointerHand1Z,RemoteHeadX, RemoteHeadY, RemoteHeadZ,RemoteHeadEulerX, RemoteHeadEulerY, RemoteHeadEulerZ, RemoteControllerX, RemoteontrollerY, RemoteControllerZ,ControllerEulerX, RemoteControllerEulerY, RemoteControllerEulerZ,PointerHead2X,PointerHead2Y,PointerHead2Z,PointerHand2X,PointerHand2Y,PointerHand2Z,PointerHeadTilt1X,PointerHeadTilt1Y,PointerHeadTilt1Z,PointerHeadTilt2X,PointerHeadTilt2Y,PointerHeadTilt2Z
0.193,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.312, 1.403, -0.277,45.822, 16.853, 4.431,0.495, 0.975, -0.336,27.282, 359.786, 5.149,0.477, 0.817, 0.267,0.494, 0.826, -0.046,null,null,null,0.402, 0.862, -0.031
0.200,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.312, 1.403, -0.277,45.822, 16.853, 4.431,0.495, 0.975, -0.336,27.282, 359.786, 5.149,0.477, 0.817, 0.267,0.494, 0.826, -0.046,null,null,null,0.402, 0.862, -0.031
0.206,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.311, 1.402, -0.278,45.828, 16.730, 4.338,0.495, 0.974, -0.335,27.350, 359.750, 5.020,0.475, 0.817, 0.267,0.494, 0.825, -0.048,null,null,null,0.400, 0.863, -0.031
0.213,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.311, 1.402, -0.277,45.998, 16.639, 4.382,0.494, 0.973, -0.335,27.518, 359.848, 5.094,0.473, 0.816, 0.266,0.494, 0.825, -0.050,null,null,null,0.399, 0.863, -0.033
0.220,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.311, 1.402, -0.277,45.793, 16.382, 4.154,0.494, 0.973, -0.335,27.510, 359.662, 4.943,0.471, 0.817, 0.269,0.492, 0.825, -0.051,null,null,null,0.398, 0.864, -0.030
0.226,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.311, 1.402, -0.277,45.793, 16.382, 4.154,0.494, 0.973, -0.335,27.510, 359.662, 4.943,0.471, 0.817, 0.269,0.492, 0.825, -0.051,null,null,null,0.398, 0.864, -0.030
0.233,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.311, 1.402, -0.277,45.793, 16.382, 4.154,0.494, 0.973, -0.335,27.510, 359.662, 4.943,0.471, 0.817, 0.269,0.492, 0.825, -0.051,null,null,null,0.398, 0.864, -0.030
0.239,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.311, 1.402, -0.277,45.793, 16.382, 4.154,0.494, 0.973, -0.335,27.510, 359.662, 4.943,0.471, 0.817, 0.269,0.492, 0.825, -0.051,null,null,null,0.398, 0.864, -0.030
0.246,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.311, 1.402, -0.277,45.793, 16.382, 4.154,0.494, 0.973, -0.335,27.510, 359.662, 4.943,0.471, 0.817, 0.269,0.492, 0.825, -0.051,null,null,null,0.398, 0.864, -0.030
0.253,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.311, 1.402, -0.277,45.793, 16.382, 4.154,0.494, 0.973, -0.335,27.510, 359.662, 4.943,0.471, 0.817, 0.269,0.492, 0.825, -0.051,null,null,null,0.398, 0.864, -0.030
0.259,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.311, 1.402, -0.277,45.793, 16.382, 4.154,0.494, 0.973, -0.335,27.510, 359.662, 4.943,0.471, 0.817, 0.269,0.492, 0.825, -0.051,null,null,null,0.398, 0.864, -0.030
